LapNumber,LapDistance,Speed,LateralAcceleration,LongitudinalAcceleration,FRH,RRH,Yaw,Steer,Roll,FlapAngle,BrakeForce,ThrottlePedal,CzF,CzR,Cx,CornerPhase,GPSLatCoord,GPSLongCoord
1,0.045716159,0.948098236,0.001394701,0.013161831,0.295080388,0.124895275,-0.026085301,-0.001108892,-0.007564508,20,-4.05E-06,1,1.439110505,1.417941716,0.875656155,Straight-line,26.03236667,50.51045
1,0.046456574,0.949176252,-0.00390516,0.037391565,0.295603833,0.12916469,-0.018471377,-0.00116776,-0.011677439,20,-1.70E-05,1,1.44074175,1.418728665,0.875820941,Straight-line,26.0324,50.51045
1,0.04719894,0.949644005,0.00111576,0.029913253,0.291522982,0.132031534,-0.01310662,-0.001066326,-0.015763189,20,9.08E-06,1,1.443093669,1.418830243,0.875933769,Straight-line,26.03243333,50.51045
1,0.047934337,0.950213532,0.016178524,0.013460963,0.287145887,0.12920104,-0.011923062,-0.000918074,-0.017748128,20,-0.00016044,1,1.443318232,1.418068136,0.875834261,Straight-line,26.03248333,50.51046667
1,0.048674565,0.950422126,-0.018410043,0.00478612,0.28523898,0.124061196,-0.014698782,-0.000773661,-0.019071576,20,1.87E-05,1,1.441907548,1.41714256,0.875633289,Straight-line,26.03251667,50.51046667
1,0.049419246,0.950759265,0.008089262,0.026323662,0.284596084,0.117433422,-0.018831568,-0.000670209,-0.021497949,20,-9.05E-05,1,1.439537691,1.416064893,0.875365692,Straight-line,26.03255,50.51046667
1,0.050159474,0.950150941,-0.004463042,-0.034699376,0.283503936,0.120100946,-0.021073914,-0.000680587,-0.024192301,20,0.000135868,1,1.440789717,1.41623631,0.875429686,Straight-line,26.03258333,50.51046667
1,0.050904154,0.950806855,0.010878661,0.032306313,0.280137367,0.120794017,-0.019867358,-0.000856935,-0.024795946,20,-8.10E-05,1,1.442050865,1.416056423,0.875461263,Straight-line,26.03261667,50.51046667
1,0.051635104,0.951932332,-0.01199442,0.01435836,0.275478514,0.116385704,-0.015749788,-0.001189164,-0.023376795,20,-0.000130607,1,1.441849153,1.415162927,0.875344463,Straight-line,26.03265,50.51046667
1,0.052382288,0.951191713,0.007531381,-0.079868389,0.271919391,0.11758477,-0.009818551,-0.001657147,-0.022543942,20,-1.56E-05,1,1.443407471,1.415129665,0.875427981,Straight-line,26.03268333,50.51046667
1,0.053117503,0.950415272,0.000557881,0.017050554,0.271842784,0.114464514,-0.002303162,-0.002261576,-0.023691106,20,-0.000105199,1,1.442318932,1.414798484,0.875359156,Straight-line,26.03273333,50.51046667
1,0.053857918,0.950049037,-0.009483962,0.004486987,0.277221429,0.118515172,0.006986353,-0.002971952,-0.025026151,20,-8.12E-05,1,1.44223746,1.415884754,0.87554578,Straight-line,26.03276667,50.51046667
1,0.054602412,0.951013639,-0.024546724,0.028417589,0.285556288,0.125609478,0.016493136,-0.003663648,-0.02362857,20,-5.06E-05,1,1.442340923,1.417553799,0.875828095,Straight-line,26.0328,50.51046667
1,0.055342827,0.950347509,-0.012273364,0.012264434,0.291311183,0.132331914,0.021813675,-0.004112402,-0.019192744,20,6.19E-06,1,1.443077419,1.418885204,0.876061228,Straight-line,26.03283333,50.51046667
1,0.056085191,0.951337328,-0.029009763,0.034699371,0.290222026,0.136900707,0.0179356,-0.004186411,-0.013038351,20,-9.65E-05,1,1.445207549,1.419424912,0.876195116,Straight-line,26.03286667,50.51046667
1,0.056820587,0.952642689,-0.030962349,0.02632366,0.285412815,0.13813851,0.003831775,-0.003936963,-0.006697701,20,-4.73E-06,1,1.447248465,1.419253307,0.876216618,Straight-line,26.0329,50.51046667
1,0.057560815,0.951811934,-0.051882849,-0.004187855,0.282517636,0.143153602,-0.015449543,-0.003496267,-0.002036655,20,-5.28E-05,1,1.449837656,1.419510727,0.876376256,Straight-line,26.03293333,50.51046667
1,0.058305496,0.953169671,-0.05997211,0.051151662,0.28102195,0.147126752,-0.032060594,-0.002996622,-1.07E-05,20,7.61E-05,1,1.451311412,1.41949096,0.876481546,Straight-line,26.03298333,50.51048333
1,0.059045724,0.954142678,-0.023709902,0.041280282,0.280017034,0.114345296,-0.040324291,-0.002555595,0.000647923,20,-3.24E-05,1,1.439074546,1.414761361,0.875283179,Straight-line,26.03301667,50.51048333
1,0.059790405,0.954103753,-0.037099026,-0.007777446,0.281622206,0.139353832,-0.039341533,-0.002231376,0.001882505,20,-9.10E-06,1,1.44795527,1.418302967,0.876181469,Straight-line,26.03305,50.51048333
1,0.060530633,0.954729147,-0.013947002,0.041579425,0.285640086,0.134141426,-0.03222686,-0.002044688,0.004459043,20,1.79E-05,1,1.44513208,1.418271291,0.876038552,Straight-line,26.03308333,50.51048333
1,0.061275313,0.955068225,-0.015620643,0.007179181,0.289969629,0.122588172,-0.023470795,-0.002043989,0.008007268,20,-2.35E-05,1,1.439823736,1.417381308,0.875667972,Straight-line,26.03311667,50.51048333
1,0.062015541,0.955537659,-0.037377967,-0.001495662,0.292649235,0.115463845,-0.016220217,-0.002228108,0.011341734,20,7.12E-05,1,1.436528773,1.416788825,0.875436517,Straight-line,26.03315,50.51048333
1,0.062760222,0.954227383,-0.022315203,0.00957224,0.293609676,0.116452801,-0.011464545,-0.002503609,0.013485024,20,-7.81E-05,1,1.436684889,1.417063419,0.87547131,Straight-line,26.0332,50.51048333
1,0.06350045,0.955898593,-0.013947001,0.050553396,0.292042858,0.120446254,-0.010039199,-0.002817037,0.015382195,20,-0.000177929,1,1.438652644,1.417483207,0.875610301,Straight-line,26.03323333,50.51048333
1,0.064245136,0.95732086,-0.027615062,0.036793301,0.288760156,0.122689268,-0.013799578,-0.003125186,0.019037262,20,3.02E-05,1,1.440394744,1.417476206,0.875705711,Straight-line,26.03326667,50.51048333
1,0.064994643,0.957100498,-0.035146446,-0.005384386,0.286410489,0.123902584,-0.02327159,-0.003354082,0.025235585,20,-6.37E-05,1,1.44132353,1.41733605,0.875796067,Straight-line,26.0333,50.51048333
1,0.065730045,0.95804971,-0.044909347,0.046963803,0.285022726,0.121191273,-0.035233422,-0.003471895,0.032342084,20,1.78E-05,1,1.440309113,1.416635484,0.87577457,Straight-line,26.03333333,50.51048333
1,0.066481681,0.958809081,-0.060529992,0.033502843,0.284979815,0.107654471,-0.043652576,-0.003399816,0.035915766,20,5.21E-05,1,1.434907599,1.414543936,0.875357148,Straight-line,26.03336667,50.5105
1,0.067238155,0.96520799,-0.047977689,-0.129225244,0.288497931,0.124253079,-0.043160629,-0.003002147,0.032131255,20,-5.93E-05,1,1.440095124,1.4171241,0.875898694,Straight-line,26.03341667,50.5105
1,0.067969099,0.960456495,-0.025383546,0.058629977,0.298658806,0.119238229,-0.032709799,-0.002297219,0.021689918,20,0.000119766,1,1.435697847,1.417561511,0.875636353,Straight-line,26.03345,50.5105
1,0.068723064,0.959583581,-0.029846583,-0.00029913,0.318700141,0.086159401,-0.016087362,-0.001459959,0.00984919,20,-0.00010016,1,1.417703458,1.414734926,0.874492424,Straight-line,26.03348333,50.5105
1,0.069472571,0.959168462,-0.005578799,0.261142681,0.34159014,0.135080785,0.001534522,-0.000683638,0.002171405,20,-0.000199914,1,1.429440165,1.42365174,0.876121368,Straight-line,26.03351667,50.5105
1,0.070207973,0.959510774,0.013946999,0.031408914,0.353034136,0.11989668,0.016627634,-0.000174982,-0.00092688,20,0.000119766,1,1.419897609,1.422237653,0.875619267,Straight-line,26.03355,50.5105
1,0.070959609,0.960048101,0.018688983,0.08315884,0.346185188,0.115820152,0.027668399,-7.61E-05,-0.002816952,20,-8.99E-05,1,1.42017075,1.420889422,0.875458696,Straight-line,26.03358333,50.5105
1,0.071709303,0.960746432,0.038772666,0.058031711,0.324182611,0.138687184,0.034279757,-0.000395502,-0.004925585,20,5.73E-05,1,1.43539104,1.422161963,0.876201482,Straight-line,26.03363333,50.5105
1,0.072444518,0.960587109,0.018410043,0.020041879,0.300839176,0.126839395,0.036853115,-0.000970056,-0.006419444,20,-0.000119786,1,1.437759605,1.418495831,0.87577969,Straight-line,26.03366667,50.5105
1,0.073200992,0.961034558,0.005857739,0.027819327,0.286943133,0.118665552,0.036968925,-0.001529413,-0.005573841,20,-5.79E-05,1,1.43878364,1.416146124,0.87548353,Straight-line,26.0337,50.5105
1,0.073950498,0.9620924,0.031241286,0.020041879,0.284009615,0.113534043,0.037198154,-0.001901092,-0.003103622,20,-4.84E-05,1,1.437721634,1.415142444,0.875284551,Straight-line,26.03373333,50.5105
1,0.0746859,0.961902428,0.018688981,2.23E-10,0.288008947,0.113356513,0.03973874,-0.002072233,-0.001343652,20,4.01E-06,1,1.43637209,1.415345721,0.875254401,Straight-line,26.03376667,50.5105
1,0.075437537,0.961439719,0.017573223,0.019742746,0.294727037,0.115757136,0.045147932,-0.002140267,-0.000523501,20,-7.24E-05,1,1.435028526,1.416008043,0.875305297,Straight-line,26.0338,50.51051667
1,0.076194011,0.962502605,0.025104605,0.025426265,0.302277109,0.120905972,0.051922642,-0.002278645,0.001996601,20,-0.000106529,1,1.434343521,1.416972313,0.875417402,Straight-line,26.03385,50.51051667
1,0.076924955,0.961810998,0.016178524,0.007777445,0.308508681,0.129359928,0.057320786,-0.002633296,0.00748965,20,5.86E-05,1,1.435320747,1.418228121,0.875601687,Straight-line,26.03388333,50.51051667
1,0.077678919,0.964050054,0.003068341,0.051151662,0.310790496,0.13371529,0.058880281,-0.003183236,0.013529747,20,-3.53E-05,1,1.436161186,1.418772709,0.875657736,Straight-line,26.03391667,50.51051667
1,0.078430556,0.963063468,-0.00167364,0.007478313,0.308579337,0.138386804,0.055262544,-0.003755371,0.017594609,20,7.48E-05,1,1.438802385,1.419354737,0.875804188,Straight-line,26.03395,50.51051667
1,0.07918703,0.964314644,-0.016736398,0.036494168,0.302843568,0.136000638,0.047078318,-0.004111396,0.020583071,20,5.42E-05,1,1.440071037,1.418972447,0.875771183,Straight-line,26.03398333,50.51051667
1,0.079917974,0.964251794,-0.026220365,-0.00717918,0.29749799,0.133587909,0.037101504,-0.004109928,0.025111035,20,-0.000165002,1,1.44120208,1.418624247,0.87574468,Straight-line,26.03401667,50.51051667
1,0.080671939,0.96371964,-0.012552301,-0.034699371,0.294598951,0.131319405,0.028530667,-0.003847894,0.031276014,20,1.82E-06,1,1.441496323,1.418350797,0.87570521,Straight-line,26.03406667,50.51051667
1,0.081423575,0.964651783,-0.01589958,0.0358959,0.292905917,0.12921854,0.023132617,-0.003551084,0.037237384,20,-9.21E-05,1,1.441332923,1.418046707,0.875651877,Straight-line,26.0341,50.51051667
1,0.082180049,0.964909518,-0.005578801,0.026323662,0.29180163,0.130629723,0.02077508,-0.00341805,0.041490532,20,-2.44E-05,1,1.442217298,1.418164408,0.875705073,Straight-line,26.03413333,50.51051667
1,0.082920271,0.965128199,-0.017294282,0.003888723,0.2907884,0.13150413,0.019694872,-0.003531075,0.043611778,20,-7.24E-05,1,1.442850921,1.418199202,0.875737843,Straight-line,26.03416667,50.51051667
1,0.083664958,0.965582244,-0.005578802,0.034101103,0.288715919,0.129566753,0.017745797,-0.003815532,0.044011125,20,-4.55E-05,1,1.442768983,1.417818744,0.875691275,Straight-line,26.0342,50.51053333
1,0.084416594,0.96602646,-0.025662486,-0.02871672,0.285703466,0.126720557,0.014806862,-0.004092869,0.044463342,20,-0.000129919,1,1.44263409,1.417258836,0.875624298,Straight-line,26.03425,50.51053333
1,0.085173068,0.9660112,-0.007531382,0.011367035,0.28346825,0.119892115,0.013837732,-0.004212268,0.046906258,20,-9.65E-05,1,1.440736504,1.416140154,0.875387537,Straight-line,26.03428333,50.51053333
1,0.085924704,0.965853558,-0.017852162,0.097218066,0.283620546,0.116644547,0.018499775,-0.004163811,0.051173542,20,6.73E-05,1,1.439362276,1.415496004,0.875197454,Straight-line,26.03431667,50.51053333
1,0.08666512,0.966267255,-0.005578801,0.008973975,0.284763273,0.117135324,0.029990426,-0.004005532,0.055919839,20,-5.93E-05,1,1.438852559,1.415079423,0.875019205,Straight-line,26.03435,50.51053333
1,0.087409613,0.965662164,-0.011994422,0,0.284013917,0.119508831,0.045892576,-0.003795091,0.060738115,20,-3.53E-05,1,1.439230804,1.414292901,0.874790514,Straight-line,26.03438333,50.51053333
1,0.088166087,0.965383996,-0.005299861,0.038588098,0.281564403,0.116977127,0.061129898,-0.003641942,0.065405487,20,2.45E-05,1,1.438055179,1.41246632,0.874356636,Straight-line,26.03443333,50.51053333
1,0.088917724,0.966192637,0.012552302,0.000897391,0.284208103,0.110105244,0.070816886,-0.003701991,0.068215646,20,-1.78E-06,1,1.433993162,1.410805595,0.873877135,Straight-line,26.03446667,50.51053333
1,0.089674197,0.965358519,0.004741981,-0.00239306,0.303017948,0.100635459,0.073767233,-0.004050765,0.066385596,20,-8.99E-05,1,1.424607109,1.410752902,0.873515705,Straight-line,26.0345,50.51053333
1,0.09041442,0.966624826,-0.006694561,0.03529764,0.343704631,0.093266504,0.073024339,-0.004569614,0.059112763,20,7.61E-05,1,1.40932916,1.412940833,0.873440072,Straight-line,26.03453333,50.51053333
1,0.091159106,0.964087428,0.022036262,0.046365541,0.39344598,0.102841777,0.072416944,-0.004983172,0.04964535,20,0.005973921,1,1.397042552,1.417962881,0.874029166,Straight-line,26.03456667,50.51053333
1,0.091910743,0.961388896,0,0.007179181,0.418278147,0.129739615,0.07252749,-0.005052038,0.043692552,20,-0.004175344,1,1.39944433,1.423784306,0.875028291,Straight-line,26.03461667,50.51055
1,0.092667216,0.967919842,0.020362623,0.094525872,0.403617582,0.026343526,0.070194482,-0.00485614,0.044662996,20,0.000692207,0.991269989,1.364397369,1.406154675,0.872164462,Straight-line,26.03465,50.51055
1,0.093418853,0.970065658,-0.020920496,-0.421776881,0.377026009,0.032845579,0.062798795,-0.004743499,0.051872208,20,-0.000121983,1,1.376412124,1.406421254,0.872176684,Straight-line,26.03468333,50.51055
